Record Type;PO Number;PO Number2;PO Number1;Chg;Com;Type;Conf;Order Date;Buyer;Account Number;Supplier;Curr;Item;Commodity Code;Description;Qty;Un;Order Value;Amount Invoiced;;WBS Code;Contract;Remarks
ttOrder;3093/M00035;3093/M00035;;;;;;;;;Konnect;;8;MATS-001;Safety Vest Fluro Orange X Back;10;EA;59.5;59.5;;N003001;;
ttOrder;3093/M00035;3093/M00035;;;;;;;;;Konnect;;9;MATS-001;Outdoor/Snake/Spider Module Unit;1;EA;16.9;16.9;;N003001;;
ttOrder;3093/M00035;3093/M00035;;;;;;;;;Konnect;;10;MATS-001;Essential Industrial Response;1;EA;75;75;;N003001;;
ttOrder;3093/M00035;3093/M00035;;;;;;;;;Konnect;;11;MATS-001;Emergency Assembly Area 600X400MM;10;EA;205;205;;N003001;;
ttOrder;3093/M00035;3093/M00035;;;;;;;;;Konnect;;12;MATS-001;600X450MM CORFLUTE - 'DANGER DEEP;10;EA;205;205;;N003001;;
ttOrder;3093/M00035;3093/M00035;;;;;;;;;Konnect;;13;MATS-001;First Aid Room 600x400mm Corflute;5;EA;102.5;0;;N003001;;
ttOrder;3093/M00035;3093/M00035;;;;;;;;;Konnect;;14;MATS-001;Danger Overhead Powerlines;10;EA;205;135.05;;N003001;;
ttOrder;3093/M00035;3093/M00035;;;;;;;;;Konnect;;15;MATS-001;Paramount - Eyewash Station  takes;5;EA;140;140;;N003001;;
ttOrder;3093/M00036;3093/M00036;3093/M00036;V006;Y;E;Y;10/10/2023;vstone;HIE001;HIESLER CONTRACTING PTY LTD;AUD;1;MATS-001;Smooth Drum Roller - Wet Hire;2091.38;HR;250965.6;51360;;GZPV010;3093;
ttOrder;3093/M00036;3093/M00036;;;;;;;;;HIESLER CONTRACTING PTY LTD;;2;MATS-001;Multi Tyre Roller - Wet Hire No Operator;2091.38;HR;115025.9;23650;;GZPV010;;
ttOrder;3093/M00036;3093/M00036;;;;;;;;;HIESLER CONTRACTING PTY LTD;;3;MATS-001;140M grader inc GPS/UTS;2091.38;HR;432915.66;96876;;GZPV010;;
ttOrder;3093/M00036;3093/M00036;;;;;;;;;HIESLER CONTRACTING PTY LTD;;4;MATS-001;Water Cart 12KL - WET Hire;4182.77;HR;543760.1;111670;;GZPV010;;
ttOrder;3093/M00036;3093/M00036;;;;;;;;;HIESLER CONTRACTING PTY LTD;;5;MATS-001;Supervisor;2091.38;HR;271879.4;24250;;GZPV010;;
ttOrder;3093/M00036;3093/M00036;;;;;;;;;HIESLER CONTRACTING PTY LTD;;6;MATS-001;Accommodation;15000;EA;15000;12771;;GZPV010;;
ttOrder;3093/M00036;3093/M00036;;;;;;;;;HIESLER CONTRACTING PTY LTD;;7;MATS-001;Float;34;EA;34680;0;;GZPV010;;
ttOrder;3093/M00036;3093/M00036;;;;;;;;;HIESLER CONTRACTING PTY LTD;;8;MATS-001;Labour / Travel / Prestart;500;EA;35000;22050;;GZPV010;;
ttOrder;3093/M00036;3093/M00036;;;;;;;;;HIESLER CONTRACTING PTY LTD;;9;MATS-001;Mobilisation;1;EA;12504.29;12504.29;;GZPV010;;
ttOrder;3093/M00036;3093/M00036;;;;;;;;;HIESLER CONTRACTING PTY LTD;;10;MATS-001;Light Vehicle/Site Vehicle;500;EA;25000;2600;;GZPV010;;
ttOrder;3093/M00036;3093/M00036;;;;;;;;;HIESLER CONTRACTING PTY LTD;;11;MATS-001;Living Away from Home Allowance;500;EA;25000;7200;;GZPV010;;
ttOrder;3093/M00036;3093/M00036;;;;;;;;;HIESLER CONTRACTING PTY LTD;;12;MATS-001;Fuel Supplied by Hiesler;3000;EA;3000;1446.4;;GZPV010;;
ttOrder;3093/M00037;3093/M00037;3093/M00037;;Y;N;Y;28/08/2023;bstormon;JAM002;James Lane;AUD;1;MATS-001;5x house sets;34231.23;EA;34231.23;31119.3;;N031001;3093;Order Complete
ttOrder;3093/M00038;3093/M00038;3093/M00038;;Y;N;Y;29/08/2023;bstormon;REA001;Reali Supply;AUD;1;MATS-001;Argyle Zip Sided 150mm Derby Style Lace-Up Safety Boot;1;EA;192.6;192.6;;N003001;3093;Order Complete
ttOrder;3093/M00038;3093/M00038;;;;;;;;;Reali Supply;;2;MATS-001;Cotton Drill Taped Cargo Pants - Navy;5;EA;114.75;114.75;;N003001;;
ttOrder;3093/M00038;3093/M00038;;;;;;;;;Reali Supply;;3;MATS-001;Men's Lightweight Taped Two Tone Long Sleeve Shirt - Yellow/Navy;5;EA;168.65;168.65;;N003001;;
ttOrder;3093/M00038;3093/M00038;;;;;;;;;Reali Supply;;4;MATS-001;Hi Vis Soft Shell Jacket with 3M Tape;1;EA;80.75;80.75;;N003001;;
ttOrder;3093/M00038;3093/M00038;;;;;;;;;Reali Supply;;5;MATS-001;Vented Hard Hat Type 1 with Georgiou Pad Print;1;EA;13.82;13.82;;N003001;;
ttOrder;3093/M00038;3093/M00038;;;;;;;;;Reali Supply;;6;MATS-001;Stockade Safety Spec;1;EA;2.4;2.38;;N003001;;
ttOrder;3093/M00039;3093/M00039;3093/M00039;V002;Y;N;Y;29/08/2023;bstormon;ALTU01;Altus Traffic;AUD;1;MATS-001;Traffic Controller Per Hr;11230;HR;520510.5;40139.11;;N0TM001;3093;
ttOrder;3093/M00039;3093/M00039;;;;;;;;;Altus Traffic;;2;MATS-001;Establishment per day per person;2552.25;EA;76567.5;3630;;N0TM001;;
ttOrder;3093/M00039;3093/M00039;;;;;;;;;Altus Traffic;;3;MATS-001;Traffic Vehicle per hr;8167.2;HR;179678.4;23765.5;;N0TM001;;
ttOrder;3093/M00039;3093/M00039;;;;;;;;;Altus Traffic;;4;MATS-001;Traffic Controller @ 1.5;3101.85;HR;189274.89;12295.53;;N0TM001;;
ttOrder;3093/M00039;3093/M00039;;;;;;;;;Altus Traffic;;5;MATS-001;Traffic Controller @ 2;1437.53;HR;113564.87;4226.5;;N0TM001;;
ttOrder;3093/M00039;3093/M00039;;;;;;;;;Altus Traffic;;6;MATS-001;Traffic Controller @ Weekend;958.35;HR;75709.65;7682.75;;N0TM001;;
ttOrder;3093/M00039;3093/M00039;;;;;;;;;Altus Traffic;;7;MATS-001;Meal allowance after 10 hours;2150.65;HR;47314.39;2222;;N0TM001;;
ttOrder;3093/M00039;3093/M00039;;;;;;;;;Altus Traffic;;8;MATS-001;Traffic Management Vehicle - Utility per day;1399.36;DAY;44919.6;3418.66;;N0TM001;;
ttOrder;3093/M00040;3093/M00040;3093/M00040;V005;Y;N;Y;01/10/2023;bstormon;SCO003;Scott Roadways;AUD;1;MATS-001;Truck - Semi Side Tipper - 22-24 payload;3000;HR;555000;284298.75;;1APV010;3093;
ttOrder;3093/M00040;3093/M00040;;;;;;;;;Scott Roadways;;2;MATS-001;Front Loader 950H;300;HR;55500;16405;;1APV010;;
ttOrder;3093/M00040;3093/M00040;;;;;;;;;Scott Roadways;;3;MATS-001;Water storage tanks;40;DAY;6000;1500;;1APV010;;
ttOrder;3093/M00040;3093/M00040;;;;;;;;;Scott Roadways;;4;PLAN-001;B-Double Tanker or Side Tipper;300;HR;63000;21630;;1APV010;;
ttOrder;3093/M00041;3093/M00041;3093/M00041;;Y;N;Y;29/08/2023;bstormon;JJRY01;JJ Ryan Consulting;AUD;1;MATS-001;Principal Engineer (RPEQ) 12+ years;800;EA;180000;0;;N001023;3093;
ttOrder;3093/M00041;3093/M00041;;;;;;;;;JJ Ryan Consulting;;2;MATS-001;Senior Engineer 6-12 years;1925;EA;346500;0;;N001023;;
ttOrder;3093/M00041;3093/M00041;;;;;;;;;JJ Ryan Consulting;;3;MATS-001;Project Engineer  3-6 years;1950;EA;292500;0;;N001023;;
ttOrder;3093/M00041;3093/M00041;;;;;;;;;JJ Ryan Consulting;;4;MATS-001;Vehicle Usage;290;EA;43500;0;;N001023;;
ttOrder;3093/M00041;3093/M00041;;;;;;;;;JJ Ryan Consulting;;5;MATS-001;Accomodation;50;EA;6250;0;;N001023;;
ttOrder;3093/M00042;3093/M00042;3093/M00042;;Y;N;Y;29/08/2023;bstormon;JJRI02;JJ Richards & Sons Pty Ltd T/;AUD;1;MATS-001;9m Skip;10;EA;8650;1583.25;;N002101;3093;
ttOrder;3093/M00042;3093/M00042;;;;;;;;;JJ Richards & Sons Pty Ltd T/;;2;MATS-001;Disposal fee;10;EA;2780;2780;;N002101;;
ttOrder;3093/M00043;3093/M00043;3093/M00043;V001;Y;N;N;30/08/2023;bstormon;STEL01;Stellar Systems Pty Ltd;AUD;1;MATS-001;Ubiquiti UniFi AC Pro V2 Indoor &;2;EA;456.48;228.24;;N002190;3093;Order Complete
ttOrder;3093/M00043;3093/M00043;;;;;;;;;Stellar Systems Pty Ltd;;2;MATS-001;Freight Standard;1;EA;20;20;;N002190;;
ttOrder;3093/M00043;3093/M00043;;;;;;;;;Stellar Systems Pty Ltd;;3;MATS-001;Ubiquiti UniFi AC Pro V2 Indoor &;-1;EA;-228.24;0;;N002190;;
ttOrder;3093/M00044;3093/M00044;3093/M00044;;Y;N;Y;30/08/2023;bstormon;ALCO01;Alcolizer Technology;AUD;1;MATS-001;HH3 Alcohol Tester (AS3547:2019) 12 Month Cal;2;EA;1590;1590;;N003001;3093;Order Complete
ttOrder;3093/M00044;3093/M00044;;;;;;;;;Alcolizer Technology;;2;MATS-001;Mouthpiece;200;EA;84;84;;N003001;;
ttOrder;3093/M00044;3093/M00044;;;;;;;;;Alcolizer Technology;;3;MATS-001;Delivery;1;EA;24;24;;N003001;;
ttOrder;3093/M00045;3093/M00045;3093/M00045;V001;Y;N;Y;21/09/2023;cmacdonald;MAST09;Master Hire;AUD;1;MATS-001;2x mobile toilet;4;EA;240;0;;N002101;3093;
ttOrder;3093/M00045;3093/M00045;;;;;;;;;Master Hire;;2;MATS-001;Pump out;2;EA;140;0;;N002101;;
ttOrder;3093/M00045;3093/M00045;;;;;;;;;Master Hire;;3;MATS-001;Tandem trailer;2;EA;661.16;330.58;;N002101;;
ttOrder;3093/M00046;3093/M00046;3093/M00046;V001;Y;N;Y;22/09/2023;bstormon;MAST09;Master Hire;AUD;1;MATS-001;Contract 143333-06 Mobile Toilet Trailer;24;WK;1440;317.14;;N002101;3093;
ttOrder;3093/M00046;3093/M00046;;;;;;;;;Master Hire;;2;MATS-001;Contract 144259-06 Mobile Toilet Trailer;24;WK;1440;51.42;;N002101;;
ttOrder;3093/M00046;3093/M00046;;;;;;;;;Master Hire;;3;MATS-001;Contract 147867-06 Mobile Toilet Trailer;24;WK;1440;42.85;;N002101;;
ttOrder;3093/M00046;3093/M00046;;;;;;;;;Master Hire;;4;MATS-001;Contract 147887-06 Mobile Toilet Trailer;24;WK;1440;0;;N002101;;
ttOrder;3093/M00046;3093/M00046;;;;;;;;;Master Hire;;5;MATS-001;Mobile toilet pump outs as & when required ;700;EA;700;0;;N002101;;
ttOrder;3093/M00047;3093/M00047;3093/M00047;;Y;N;Y;01/09/2023;bstormon;WIR003;Wire Property Agents;AUD;1;MATS-001;Bond;1;EA;2000;2000;;N031001;3093;Order Complete
ttOrder;3093/M00047;3093/M00047;;;;;;;;;Wire Property Agents;;2;MATS-001;Rent for the month;2389.88;EA;2389.88;2172.62;;N031001;;
ttOrder;3093/M00048;3093/M00048;3093/M00048;V002;N;N;Y;01/10/2023;bstormon;BKHI01;BK Hire;AUD;1;MATS-001;Body Truck;1;EA;119;0;;1LPV011;3093;
ttOrder;3093/M00048;3093/M00048;;;;;;;;;BK Hire;;2;MATS-001;Semi-Side Tipper;100;EA;233747.5;0;;1LPV011;;
ttOrder;3093/M00048;3093/M00048;;;;;;;;;BK Hire;;3;MATS-001;13t Exc with GPS;1;EA;145;0;;1LPV011;;
ttOrder;3093/M00048;3093/M00048;;;;;;;;;BK Hire;;4;MATS-001;22.5T Exc with GPS 170;1;EA;168;0;;1LPV011;;
ttOrder;3093/M00048;3093/M00048;;;;;;;;;BK Hire;;5;MATS-001;Water Supply;779.41;KL;19200;2494.11;;1LPV011;;
ttOrder;3093/M00048;3093/M00048;;;;;;;;;BK Hire;;6;MATS-001;Grader 140H/M;200;EA;103871.1;0;;1LPV011;;
ttOrder;3093/M00048;3093/M00048;;;;;;;;;BK Hire;;7;MATS-001;Roller – Smooth Drum or Padfoot;100;EA;93101.25;0;;1LPV011;;
ttOrder;3093/M00048;3093/M00048;;;;;;;;;BK Hire;;8;MATS-001;Water Cart Rigid;100;EA;44610;0;;1LPV011;;
ttOrder;3093/M00048;3093/M00048;;;;;;;;;BK Hire;;9;MATS-001;Water Cart Semi;100;EA;37000;1295;;1LPV011;;
ttOrder;3093/M00048;3093/M00048;;;;;;;;;BK Hire;;10;MATS-001;Labour / Pre-start Rate;100;EA;11250;2250;;1LPV011;;
ttOrder;3093/M00048;3093/M00048;;;;;;;;;BK Hire;;11;MATS-001;Float - Moving Equipment around site;50;HR;10000;3300;;1LPV011;;
ttOrder;3093/M00048;3093/M00048;;;;;;;;;BK Hire;;12;MATS-001;Front Loader;100;EA;140000;0;;1LPV011;;
ttOrder;3093/M00048;3093/M00048;;;;;;;;;BK Hire;;13;MATS-001;Roller – multi tyre - 18-20t;744.81;EA;93101.25;0;;1LPV011;;
ttOrder;3093/M00050;3093/M00050;3093/M00050;;Y;N;Y;04/09/2023;bstormon;MIN017;Minstaff Survey Pty Ltd;AUD;1;MATS-001;Lead Survey;2720;HR;394400;0;;N001070;3093;
ttOrder;3093/M00050;3093/M00050;;;;;;;;;Minstaff Survey Pty Ltd;;2;MATS-001;Project Surveyor;2720;HR;367200;0;;N001070;;
ttOrder;3093/M00050;3093/M00050;;;;;;;;;Minstaff Survey Pty Ltd;;3;MATS-001;External Works;2720;HR;340000;0;;N001070;;
ttOrder;3093/M00050;3093/M00050;;;;;;;;;Minstaff Survey Pty Ltd;;4;MATS-001;Assistant Surveyor;136;WK;9520;0;;N001070;;
ttOrder;3093/M00050;3093/M00050;;;;;;;;;Minstaff Survey Pty Ltd;;5;MATS-001;Base Station Hire;680;WK;471131.2;0;;N001070;;
ttOrder;3093/M00051;3093/M00051;3093/M00051;;Y;N;Y;04/09/2023;bstormon;TRAD10;Tradeline Site Solutions;AUD;1;MATS-001;[DAY30BL] Safety Flags - BLUE Bunting - 30m (ea/25box);8;EA;122.16;0;;N002110;3093;
ttOrder;3093/M00051;3093/M00051;;;;;;;;;Tradeline Site Solutions;;2;MATS-001;[SIGNA40] Safety Sign 600 x 450mm - Reverse Parking Only - Coreflute;4;EA;82.4;0;;N002110;;
ttOrder;3093/M00051;3093/M00051;;;;;;;;;Tradeline Site Solutions;;3;MATS-001;[YELMANUP] 1200 x 1800mm Coreflute Yellow Man Cut Out - Pointing Up;20;EA;1085.78;0;;N002110;;
ttOrder;3093/M00051;3093/M00051;;;;;;;;;Tradeline Site Solutions;;4;MATS-001;[SIGNSTICK] Custom Sticker A4 (to suit yellow men) - DANGER Overhead Powerlines ___m;20;EA;56.2;0;;N002110;;
ttOrder;3093/M00051;3093/M00051;;;;;;;;;Tradeline Site Solutions;;5;MATS-001;[SMP350W] DYMARK Spray and Mark Layout Paint; White 350gram (ea/12box);48;EA;318.73;0;;N002110;;
ttOrder;3093/M00051;3093/M00051;;;;;;;;;Tradeline Site Solutions;;6;MATS-001;[IFINEBLACK] Dy-Mark iFine Permanent Marker Pen - Black (ea/Box 10);10;EA;37.27;0;;N002110;;
ttOrder;3093/M00051;3093/M00051;;;;;;;;;Tradeline Site Solutions;;7;MATS-001;[PAINTPENP10BK] Paint Marker Pen P10 - Black (ea/12 Box);10;EA;54.09;0;;N002110;;
ttOrder;3093/M00051;3093/M00051;;;;;;;;;Tradeline Site Solutions;;8;MATS-001;Hardwood Peg 50 x 25 x 1200mm Painted (ea/10bundle);120;EA;718.8;0;;N002110;;
ttOrder;3093/M00051;3093/M00051;;;;;;;;;Tradeline Site Solutions;;9;DEL01;Delivery - Regional to Lorrimer St  Oakey QLD 4401;1;NO;32.9;0;;N002110;;
ttOrder;3093/M00052;3093/M00052;3093/M00052;V002;Y;N;Y;21/08/2023;cmacdonald;RAY007;Ray White Rural (Oakey);AUD;1;MATS-001;11 Berghofer Drive  Bond + Rent;2;EA;3760;1709.09;;N031001;3093;Order Complete
ttOrder;3093/M00052;3093/M00052;;;;;;;;;Ray White Rural (Oakey);;2;MATS-001;Monthly rent;10;EA;18800;2036.67;;N031001;;
ttOrder;3093/M00052;3093/M00052;;;;;;;;;Ray White Rural (Oakey);;3;MATS-001;Extra bond amount;1;EA;90.91;90.91;;N031001;;
ttOrder;3093/M00053;3093/M00053;3093/M00053;;Y;N;Y;05/09/2023;ajeffery;HAR022;Harvey's Towing (Qld) Pty Ltd;AUD;1;MATS-001;Transport C155 to site;1;EA;1000;700;;N008003;3093;Order Complete
ttOrder;3093/M00054;3093/M00054;3093/M00054;;Y;N;Y;05/09/2023;cmacdonald;BUNN04;Bunnings - QLD;AUD;1;MATS-001;cleaning supplies;2000;EA;2000;1652.87;;N002101;3093;Order Complete
ttOrder;3093/M00055;3093/M00055;3093/M00055;V002;Y;N;Y;13/10/2023;bstormon;OFFI10;Officeworks Superstores P/L;AUD;1;MATS-001;Supplies for site set up;30000;EA;30000;19487.63;;N002101;3093;
ttOrder;3093/M00056;3093/M00056;3093/M00056;;Y;N;Y;06/09/2023;bstormon;TRAD10;Tradeline Site Solutions;AUD;1;MATS-001;[SIGNA2] Custom Design Sign A2 (420 x 594m) Corflute - Project Gate Sign;20;EA;412;0;;PPPPWIP;3093;
ttOrder;3093/M00056;3093/M00056;;;;;;;;;Tradeline Site Solutions;;2;DEL01;Delivery - Regional;1;NO;0;0;;PPPPWIP;;
ttOrder;3093/M00057;3093/M00057;3093/M00057;;Y;N;Y;06/09/2023;bstormon;THE078;THE TRUSTEE FOR BEVELUCK NO 2;AUD;1;MATS-001;Whitegoods for site;3789.09;EA;3789.09;3789.09;;N008100;3093;Order Complete
ttOrder;3093/M00058;3093/M00058;3093/M00058;;Y;N;Y;06/09/2023;bstormon;TELC01;Telco Antennas Pty Ltd;AUD;1;MATS-001;Cable Assemblies;354.57;EA;354.57;300.73;;N002190;3093;Order Complete
ttOrder;3093/M00059;3093/M00059;3093/M00059;;Y;N;Y;07/09/2023;bstormon;WIR003;Wire Property Agents;AUD;1;MATS-001;Bond;1;EA;1800;1800;;N031001;3093;Order Complete
ttOrder;3093/M00059;3093/M00059;;;;;;;;;Wire Property Agents;;2;MATS-001;4 weeks rent;1;EA;1960.71;1960.71;;N031001;;
ttOrder;3093/M00060;3093/M00060;3093/M00060;V001;Y;N;Y;11/10/2023;bstormon;TRA036;Traffic Engineering Australia;AUD;1;MATS-001;TGS;50;EA;15000;5700;;N002101;3093;
ttOrder;3093/M00061;3093/M00061;3093/M00061;;Y;N;Y;07/09/2023;bstormon;THE078;THE TRUSTEE FOR BEVELUCK NO 2;AUD;1;MATS-001;White goods for houses;3;EA;8541.81;8541.81;;N031001;3093;Order Complete
ttOrder;3093/M00062;3093/M00062;3093/M00062;;Y;N;Y;07/09/2023;bstormon;NEVE01;Neverfail Springwater;AUD;1;MATS-001;Water coolers;3;EA;479.49;0;;N002101;3093;Order Complete
ttOrder;3093/M00062;3093/M00062;;;;;;;;;Neverfail Springwater;;2;MATS-001;Spring water bottles;100;EA;1495;0;;N002101;;
ttOrder;3093/M00063;3093/M00063;3093/M00063;;Y;N;Y;08/09/2023;cmacdonald;DSWO01;DS Workwear;AUD;1;MATS-001;PPE for Tayla and Greg;363.18;EA;363.18;363.16;;N003001;3093;Order Complete
ttOrder;3093/M00064;3093/M00064;3093/M00064;;Y;N;Y;08/09/2023;bstormon;JOBF01;Jobfit Health Group Pty Ltd;AUD;1;MATS-001;Rimal Bhudia - Medical Basic;1;EA;266;243;;N003001;3093;Order Complete
ttOrder;3093/M00065;3093/M00065;3093/M00065;;Y;N;Y;08/09/2023;cmacdonald;JAM002;James Lane;AUD;1;MATS-001;3x house sets of furniture;18473.9;EA;18473.9;16794.45;;N031001;3093;Order Complete
ttOrder;3093/M00066;3093/M00066;3093/M00066;;Y;N;Y;08/09/2023;bstormon;WIR003;Wire Property Agents;AUD;1;MATS-001;Bond for 2 Units on Sybyl Street;2;EA;4400;0;;N031001;3093;Order Complete
ttOrder;3093/M00066;3093/M00066;;;;;;;;;Wire Property Agents;;2;MATS-001;Rent for 2 units on Sybyl street;2;EA;4400;0;;N031001;;
ttOrder;3093/M00067;3093/M00067;3093/M00067;;Y;N;Y;08/09/2023;bstormon;SUC001;Success Realty (QLD);AUD;1;MATS-001;2/4 Waverly St;11;EA;19800;3600;;N031001;3093;
ttOrder;3093/M00067;3093/M00067;;;;;;;;;Success Realty (QLD);;2;MATS-001;5/77 Anzac Ave;11;EA;23760;4320;;N031001;;
ttOrder;3093/M00067;3093/M00067;;;;;;;;;Success Realty (QLD);;3;MATS-001;1/9 Sunning St;11;EA;19140;3480;;N031001;;
ttOrder;3093/M00067;3093/M00067;;;;;;;;;Success Realty (QLD);;4;MATS-001;1/15 Wapiti St;11;EA;18700;3400;;N031001;;
ttOrder;3093/M00067;3093/M00067;;;;;;;;;Success Realty (QLD);;5;MATS-001;1/46 McGee St;11;EA;24200;4400;;N031001;;
ttOrder;3093/M00067;3093/M00067;;;;;;;;;Success Realty (QLD);;6;MATS-001;44A Gordon Ave;11;EA;22000;2000;;N031001;;
ttOrder;3093/M00068;3093/M00068;3093/M00068;V001;Y;N;Y;11/09/2023;bstormon;WIR003;Wire Property Agents;AUD;1;MATS-001;2/7 Camira Ct;11;EA;21560;1960.71;;N031001;3093;
ttOrder;3093/M00068;3093/M00068;;;;;;;;;Wire Property Agents;;2;MATS-001;1/2 Sybyl St;12;EA;28757.16;6992.86;;N031001;;
ttOrder;3093/M00068;3093/M00068;;;;;;;;;Wire Property Agents;;3;MATS-001;2/2 Sybyl St;12;EA;28757.16;6992.86;;N031001;;
ttOrder;3093/M00068;3093/M00068;;;;;;;;;Wire Property Agents;;4;MATS-001;72 Jack St;11;EA;24200;2389.88;;N031001;;
ttOrder;3093/M00069;3093/M00069;3093/M00069;V001;Y;N;Y;28/09/2023;bstormon;RAY007;Ray White Rural (Oakey);AUD;1;MATS-001;11 Berghofer Dr;11;EA;22403.37;2036.67;;N031001;3093;
ttOrder;3093/M00069;3093/M00069;;;;;;;;;Ray White Rural (Oakey);;2;MATS-001;Bond top up;1;EA;80;80;;N031001;;
ttOrder;3093/M00070;3093/M00070;3093/M00070;;Y;N;Y;08/09/2023;bstormon;JLC001;JLC Real Estate Pty Ltd;AUD;1;MATS-001;4 Clive St - Bond;1;EA;1650;1650;;N031001;3093;
ttOrder;3093/M00070;3093/M00070;;;;;;;;;JLC Real Estate Pty Ltd;;2;MATS-001;4 Clive St;12;EA;13200;2025.71;;N031001;;
ttOrder;3093/M00071;3093/M00071;3093/M00071;;Y;N;Y;11/09/2023;bstormon;TELC01;Telco Antennas Pty Ltd;AUD;1;MATS-001;Custom LCU400 Coaxial Cable;300.73;EA;300.73;300.73;;N002191;3093;Order Complete
ttOrder;3093/M00071;3093/M00071;;;;;;;;;Telco Antennas Pty Ltd;;2;MATS-001;Delivery .;33.77;EA;33.77;0;;N002191;;
ttOrder;3093/M00072;3093/M00072;3093/M00072;;Y;N;Y;11/09/2023;cmacdonald;TRAD10;Tradeline Site Solutions;AUD;1;MATS-001;Toilet Paper 2 Ply 400 sheets Ind/Wrap (Box;5;EA;200.41;200.41;;N002101;3093;Order Complete
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;2;MATS-001;Hand Towel Rolls 180mm x 80m (Box of 16) -;5;EA;213.67;213.67;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;3;MATS-001;33/36L Garbage Bags - White (Roll 50);40;EA;290.68;290.68;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;4;MATS-001;73L Garbage Bags - (Packet/50);25;EA;294.25;294.25;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;5;MATS-001;Hand Towel Roll Metal Dispenser;3;EA;229.73;229.73;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;6;MATS-001;Bleach - 5 Litre;1;EA;21.46;21.46;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;7;MATS-001;Surface Cleaner 20L - Spray/Wipe Multi;1;EA;68.55;68.55;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;8;MATS-001;Laser Plus Toilet Bowl / Urinal Cleaner 20L;1;EA;95.85;95.85;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;9;MATS-001;Disinfectant 4in1 Lemon Floor/Surface;1;EA;62.12;62.12;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;10;MATS-001;Edco Hand Soap Dispenser 900ml capacity;5;EA;207.7;207.7;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;11;MATS-001;Soft Soap Hand Cleaner - 5 Litre (ea/2 per;2;EA;41.87;41.87;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;12;MATS-001;Dust Pan & Brush Set - Economy;5;EA;33.2;33.2;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;13;MATS-001;Glen 20 Spray 300g (ea/9 Box);9;EA;118.88;118.88;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;14;MATS-001;Urinal Deoderant Blocks 10kg - Fruity;2;EA;279.8;279.8;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;15;MATS-001;Cleaning Roll/Wipes TUF Calypso 30cm x 45m;10;EA;186.35;186.35;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;16;MATS-001;Scourer Sponges (5 Pack);10;EA;57.41;57.41;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;17;MATS-001;Toilet Brush and Holder Set;5;EA;31.59;31.59;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;18;MATS-001;Broom 600mm - Medium Bristle;2;EA;62.12;62.12;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;19;MATS-001;Heavy Duty Broom Handle 25mm x 1500mm;4;EA;26.3;26.3;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;20;MATS-001;Broom 600mm - Hard Bristle;2;EA;73.92;73.92;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;21;MATS-001;Plastic Mop Wringer Bucket 16L - RED;2;EA;102.82;102.82;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;22;MATS-001;Ezy Wring Cotton Mop RED;2;EA;43.4;43.4;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;23;MATS-001;ALUMINIUM MOP HANDLE - RED 1.5M X 25MM;2;EA;27.67;27.67;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;24;MATS-001;Office Bin 15L - Black;12;EA;128.88;128.88;;N002101;;
ttOrder;3093/M00072;3093/M00072;;;;;;;;;Tradeline Site Solutions;;25;MATS-001;Black/Yellow MSDS Binder Folder - 40mm - 2;2;EA;69.68;69.68;;N002101;;
